date,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,budget_pln_interval
2025-03-20,17684.299922212354,426456.4063369048,3969.6175000000003,198480.875,7554276.255
2025-03-21,8398.069984101612,374948.7589304576,2974.2,148710.0,6339396.5635
2025-03-22,9357.926362282951,454148.11427813297,3445.4625,172273.125,7322334.7965
2025-03-23,5457.781163244063,248456.98384605057,2213.3224999999998,110666.125,4044388.80775
2025-03-24,15330.804681114096,630424.7781637824,5652.9775,282648.875,10341073.6905
2025-03-25,5651.575684929282,274236.78898615413,1911.07,95553.5,5012489.77275
2025-03-26,5638.831946960611,280429.3332003162,1846.605,92330.25,5237334.94825
2025-03-27,8301.626361125807,406645.6450723428,2897.63,144881.5,7041269.88125
2025-03-28,6972.724516881396,329129.552777468,2257.255,112862.75,5961461.45625
2025-03-29,3512.699722691481,174062.29799395637,1082.4025,54120.125,3385040.11825
2025-03-30,7552.409037691372,363296.6351460525,2572.5299999999997,128626.5,5760538.341
2025-03-31,12724.440829668813,488197.0938927322,4041.5725,202078.625,8089801.558
2025-04-01,8130.763880792573,367137.0233172545,2734.69,136734.5,6191400.641
2025-04-02,5138.301918155024,252440.59765158317,1828.335,91416.75,5084906.76725
2025-04-03,8091.717721605332,332622.71319844417,2844.5775,142228.875,5455944.5455
2025-04-04,6327.8972436215845,306674.51191788504,2229.3875,111469.375,6137773.71775
2025-04-05,2415.416101420796,120520.9723900858,691.5425,34577.125,3820917.1895000003
2025-04-06,5138.568075942074,255574.2506282898,1511.9799999999998,75598.99999999999,4967169.5895
2025-04-07,4815.591490096996,226056.0709255433,1387.64,69382.0,4289831.8865
2025-04-08,7562.178052668114,292178.6599406063,2308.775,115438.75,5200846.009
2025-04-09,8649.49583939716,403957.3740513789,2680.5025,134025.125,6490167.98575
2025-04-10,5453.930083658473,251928.6251056787,1785.9075,89295.375,4463870.75075
2025-04-11,11988.178738268478,551783.6423171464,4407.1275,220356.375,8860803.90975
2025-04-12,6730.528185999765,276857.82927615684,2304.5575,115227.875,4839194.23675
2025-04-13,7220.68239194101,324280.67499480693,2016.7925,100839.625,6186126.68925
2025-04-14,12843.892181028903,490235.3740152329,4039.3825,201969.125,7873089.13
2025-04-15,6446.63750984357,318432.3860992256,1927.6075,96380.375,5527233.99775
2025-04-16,6360.444500379815,302432.7169528298,2085.1175000000003,104255.875,5460138.64925
2025-04-17,8476.341410241279,390975.77116327384,2685.8875,134294.375,6139293.362
2025-04-18,14828.59899086075,617279.3186422153,4729.7725,236488.625,9490902.367
2025-04-19,4708.013021654881,235172.96812373298,1344.3975,67219.875,4742274.93875
2025-04-20,1681.7097144395848,83837.76363385803,296.905,14845.249999999998,1938827.89625
2025-04-21,2488.4457313457187,124361.68191351385,541.5375,27076.875,2610908.86175
2025-04-22,6385.555720091282,215167.06742019593,1717.3249999999998,85866.25,4142710.27025
2025-04-23,3752.4953845784626,180987.3672662133,973.3999999999999,48669.99999999999,3904751.8685
2025-04-24,5666.747574890585,283246.80984200677,1465.965,73298.25,5386218.01325
2025-04-25,4680.881213031344,233350.74771421633,1418.5175,70925.875,4271143.5495
2025-04-26,2365.9630982865847,117757.92940598183,526.87,26343.5,3213842.728
2025-04-27,2762.1775933555355,137167.70300536737,908.2099999999999,45410.5,2651172.001
2025-04-28,6120.230847620778,249083.11710288463,1710.45,85522.5,4416552.138
2025-04-29,4564.1787307084,223050.1160636016,1296.99,64849.49999999999,4166212.01975
2025-04-30,5942.040328454996,255965.51547819146,1827.19,91359.5,4520928.52675
2025-05-01,7884.172131583511,356552.2202833513,2150.0225,107501.12499999999,6016838.4885
2025-05-02,2365.920667540692,116267.10768209968,842.6475,42132.375,2345399.7005
2025-05-03,7065.9569804936,330784.9387776836,2208.8825,110444.125,5530180.35225
2025-05-04,1905.6973126105083,95235.38263158294,430.0825000000001,21504.125000000004,1933773.723
2025-05-05,12493.690173650137,411608.5441516015,2986.105,149305.25,6560906.10175
2025-05-06,5429.893412872004,271494.67064360017,1392.83,69641.5,5163721.6845
2025-05-07,6644.930461760465,311975.44902788906,1947.9925,97399.625,5679633.80875
2025-05-08,11825.114648797267,461116.7512447411,5569.8725,278493.625,8954943.83675
2025-05-09,7758.883152346327,359450.1150290117,2760.2225,138011.125,6411113.41875
2025-05-10,12243.28149881014,476869.4920206195,3890.2125,194510.625,7994132.6195
2025-05-11,7960.826442670004,372205.7553851916,2386.555,119327.75,6564983.792
2025-05-12,12309.709603548263,394382.99136070505,3073.8375,153691.875,6753541.92675
2025-05-13,8691.301706373344,316155.88659153704,2646.1600000000003,132308.0,5568071.02125
2025-05-14,5656.567150111858,263523.0677957117,1887.0,94350.0,5000623.69575
2025-05-15,9648.429517155782,428581.5472889288,3128.9275,156446.375,7030216.41925
2025-05-16,7983.9711432696595,376028.4174283985,3351.89,167594.5,7071692.5475
2025-05-17,6754.9080835835675,292658.99716964655,2452.7475,122637.375,5022940.397
2025-05-18,7870.472338680701,382762.1023055823,2601.4249999999997,130071.24999999999,6778975.71
2025-05-19,12073.032704690215,499243.31705869484,4029.98,201499.0,8295580.79725
2025-05-20,7277.188614641174,346834.4424784278,2821.185,141059.25,6652596.81275
2025-05-21,8929.273508458158,318625.9349903631,2658.9775,132948.875,5740064.11
2025-05-22,10639.857099127896,391928.235385538,3181.0075,159050.375,7051465.051750001
2025-05-23,9090.447361639148,342805.53710719856,2618.82,130941.0,6376234.79575
2025-05-24,3628.6338400667687,181431.69200333845,1415.27,70763.5,4335941.79125
2025-05-25,7819.29398029674,253943.36799703154,2229.7275,111486.37499999999,6059490.261
2025-05-26,15283.345382574531,481328.79542383336,4250.6075,212530.375,8402563.82675
2025-05-27,10092.386888102452,370866.45667409175,2823.15,141157.5,6683506.27975
