dt,Hours_in_interval,price_pln_per_mw_h,mw_procured,budget_pln_interval,p_accept_exante,val_perMW_h_exante,val_perMW_interval_exante,portfolio_pln_interval_exante_capped,p_accept_expost,val_perMW_h_expost,val_perMW_interval_expost,portfolio_pln_interval_expost_capped,cap_share_pln
2024-07-01 23:00:00+00:00,0.25,607.0,556.1,84388.175,0.5855623005820831,403.65041693721446,100.91260423430361,5045.630211715181,1.0,207.0,51.75,2587.5,7587.5
2024-07-01 23:15:00+00:00,0.25,629.28,643.3,101203.95599999999,0.6109160144472778,443.02033476736835,110.75508369184209,5537.754184592104,1.0,229.27999999999997,57.31999999999999,2865.9999999999995,7866.0
2024-07-01 23:30:00+00:00,0.25,629.28,648.5,102022.01999999999,0.5802394281392991,395.82574885293803,98.95643721323451,4947.821860661726,1.0,229.27999999999997,57.31999999999999,2865.9999999999995,7866.0
2024-07-01 23:45:00+00:00,0.25,629.28,617.6,97160.832,0.5498528046485757,353.78943794609614,88.44735948652404,4422.367974326202,1.0,229.27999999999997,57.31999999999999,2865.9999999999995,7865.999999999999
2024-07-02 00:00:00+00:00,0.25,531.0,557.5,74008.125,0.49075523051412817,283.06258838219037,70.76564709554759,3538.2823547773796,1.0,131.0,32.75,1637.5,6637.5
2024-07-02 00:15:00+00:00,0.25,509.0,565.1,71908.975,0.4724454260482217,263.655676637325,65.91391915933124,3295.695957966562,1.0,109.0,27.25,1362.5,6362.500000000001
2024-07-02 00:30:00+00:00,0.25,591.89,750.7,111082.95575000001,0.5195834948874811,315.9124694573428,78.9781173643357,3948.905868216785,1.0,191.89,47.9725,2398.625,7398.625
2024-07-02 00:45:00+00:00,0.25,591.89,642.6,95087.1285,0.5064380478922871,300.56802253397626,75.14200563349407,3757.100281674703,1.0,191.89,47.9725,2398.625,7398.625
2024-07-02 01:00:00+00:00,0.25,507.0,555.0,70346.25,0.4678148020550519,258.9143196235344,64.7285799058836,3236.4289952941804,1.0,107.0,26.75,1337.5,6337.5
2024-07-02 01:15:00+00:00,0.25,555.19,588.0,81612.93000000001,0.4943197699070043,286.96763608965966,71.74190902241492,3587.0954511207456,1.0,155.19000000000005,38.797500000000014,1939.8750000000007,6939.875
2024-07-02 01:30:00+00:00,0.25,498.22,429.6,53508.82800000001,0.4648825960373658,255.94559764610932,63.98639941152733,3199.3199705763664,1.0,98.22000000000003,24.555000000000007,1227.7500000000005,6227.75
2024-07-02 01:45:00+00:00,0.25,428.44,456.0,48842.159999999996,0.3647956296676722,168.30656091726468,42.07664022931617,2103.8320114658086,1.0,28.439999999999998,7.109999999999999,355.5,5355.499999999999
2024-07-02 02:00:00+00:00,0.25,427.72,459.2,49102.256,0.36379170596268295,167.54665565494653,41.88666391373663,2094.3331956868315,1.0,27.720000000000027,6.930000000000007,346.50000000000034,5346.500000000001
2024-07-02 02:15:00+00:00,0.25,412.0,547.9,56433.7,0.3462001116613034,154.56697155108773,38.64174288777193,1932.0871443885967,1.0,12.0,3.0,150.0,5150.0
2024-07-02 02:30:00+00:00,0.25,428.44,448.4,48028.123999999996,0.3723528907716487,174.09519687285837,43.52379921821459,2176.1899609107295,1.0,28.439999999999998,7.109999999999999,355.5,5355.5
2024-07-02 02:45:00+00:00,0.25,413.0,454.0,46875.5,0.3491078131200491,156.66921472918784,39.16730368229696,1958.365184114848,1.0,13.0,3.25,162.5,5162.5
2024-07-02 03:00:00+00:00,0.25,523.55,556.7,72865.07125,0.4528301132915262,244.00968775421524,61.00242193855381,3050.1210969276904,1.0,123.54999999999995,30.88749999999999,1544.3749999999995,6544.374999999999
2024-07-02 03:15:00+00:00,0.25,419.0,394.9,41365.774999999994,0.34651268431683857,154.7921531605823,38.698038290145576,1934.901914507279,1.0,19.0,4.75,237.5,5237.499999999999
2024-07-02 03:30:00+00:00,0.25,327.41,389.3,31865.178250000004,0.22735079350092113,81.56278068645433,20.390695171613583,1019.5347585806792,0.0,0.0,0.0,0.0,4092.625
2024-07-02 03:45:00+00:00,0.25,417.0,478.4,49873.2,0.343227401839833,152.43503501762228,38.10875875440557,1905.4379377202786,1.0,17.0,4.25,212.5,5212.5
2024-07-02 04:00:00+00:00,0.25,420.0,483.6,50778.0,0.35011133500468805,157.3986652065146,39.34966630162865,1967.4833150814327,1.0,20.0,5.0,250.0,5249.999999999999
2024-07-02 04:15:00+00:00,0.25,146.02,200.0,7301.000000000001,0.06615787627468617,15.893440128110011,3.973360032027503,198.66800160137515,0.0,0.0,0.0,0.0,1825.2500000000002
2024-07-02 04:30:00+00:00,0.25,562.0,683.8,96073.9,0.534751338341398,334.4295615880428,83.6073903970107,4180.369519850536,1.0,162.0,40.5,2025.0,7024.999999999999
2024-07-02 04:45:00+00:00,0.25,643.04,590.0,94848.4,0.5975137704841456,421.7629399383575,105.44073498458937,5272.036749229468,1.0,243.03999999999996,60.75999999999999,3037.9999999999995,8037.999999999999
2024-07-02 05:00:00+00:00,0.25,643.04,726.5,116792.14,0.6329741881408227,480.3885470399111,120.09713675997777,6004.856837998888,1.0,243.03999999999996,60.75999999999999,3037.9999999999995,8037.999999999999
2024-07-02 05:15:00+00:00,0.25,607.54,790.3,120034.71549999999,0.6266727846066624,469.39387860920294,117.34846965230074,5867.423482615037,1.0,207.53999999999996,51.88499999999999,2594.2499999999995,7594.25
2024-07-02 05:30:00+00:00,0.25,607.54,584.1,88716.0285,0.6236330239975865,464.18379757634074,116.04594939408518,5802.297469704259,1.0,207.53999999999996,51.88499999999999,2594.2499999999995,7594.25
2024-07-02 05:45:00+00:00,0.25,646.84,651.2,105305.55200000001,0.6805742741915378,572.9884424394797,143.24711060986994,7162.355530493497,1.0,246.84000000000003,61.71000000000001,3085.5000000000005,8085.500000000001
2024-07-02 06:00:00+00:00,0.25,458.56,494.2,56655.087999999996,0.484945235164813,276.7877832852196,69.1969458213049,3459.8472910652445,1.0,58.56,14.64,732.0,5732.0
2024-07-02 06:15:00+00:00,0.25,725.26,735.0,133266.525,0.7580322308421825,773.1396061278881,193.28490153197203,9065.75,1.0,325.26,81.315,4065.75,9065.75
2024-07-02 06:30:00+00:00,0.25,646.84,583.2,94309.27200000001,0.6541814381490356,519.4395046210863,129.85987615527156,6492.993807763578,1.0,246.84000000000003,61.71000000000001,3085.5000000000005,8085.5
2024-07-02 06:45:00+00:00,0.25,523.9,562.9,73725.8275,0.4699364288561457,261.0785606792705,65.26964016981762,3263.482008490881,1.0,123.89999999999998,30.974999999999994,1548.7499999999998,6548.75
2024-07-02 07:00:00+00:00,0.25,539.58,514.6,69416.967,0.49349032608756405,286.05515603759545,71.51378900939886,3575.689450469943,1.0,139.58000000000004,34.89500000000001,1744.7500000000005,6744.75
2024-07-02 07:15:00+00:00,0.25,736.54,800.0,147308.0,0.7944099381250205,899.6774617329079,224.91936543322697,9206.75,1.0,336.53999999999996,84.13499999999999,4206.75,9206.75
2024-07-02 07:30:00+00:00,0.25,723.21,700.8,126706.39199999999,0.7798075055217324,845.5665540518937,211.39163851297343,9040.125,1.0,323.21000000000004,80.80250000000001,4040.1250000000005,9040.125
2024-07-02 07:45:00+00:00,0.25,497.92,613.7,76393.376,0.4702165556160225,261.36533726855725,65.34133431713931,3267.066715856966,1.0,97.92000000000002,24.480000000000004,1224.0000000000002,6224.0
2024-07-02 08:00:00+00:00,0.25,461.53,453.9,52372.116749999994,0.4185189201015007,212.23659389485567,53.05914847371392,2652.957423685696,1.0,61.52999999999997,15.382499999999993,769.1249999999997,5769.125
