dt,price_pln_per_mw_h,mw_procured,mw_available,cap_revenue_band_1,p_cap_weighted,capacity_revenue_baseline,budget_envelope,capacity_revenue_capped,bound_flag,energy_revenue,p_energy,payoff_per_MWh,total_revenue
2024-07-10 03:15:00+00:00,216.5,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4059.375,1635.9816490605708,0,16.06112676426709,0.9672466734902764,190.31,1652.042775824838
2024-07-10 03:30:00+00:00,216.5,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4059.375,1635.9816490605708,0,13.396790828436542,0.9672466734902764,158.74,1649.3784398890073
2024-07-10 03:45:00+00:00,216.5,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,4059.375,1635.9816490605708,0,11.406767345164942,0.9672466734902764,135.16,1647.3884164057358
2024-07-10 04:00:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,13.566423873448242,0.9672466734902764,160.75,1649.548072934019
2024-07-10 04:15:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,14.659333292802236,0.9672466734902764,173.7,1650.6409823533731
2024-07-10 04:30:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,14.050848589053798,0.9672466734902764,166.49,1650.0324976496247
2024-07-10 04:45:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,13.390039264455975,0.9672466734902764,158.66,1649.3716883250268
2024-07-10 05:00:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,14.430624062960591,0.9672466734902764,170.99,1650.4122731235313
2024-07-10 05:15:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,14.64667411033868,0.9672466734902764,173.55,1650.6283231709094
2024-07-10 05:30:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,15.095653115046265,0.9672466734902764,178.87,1651.077302175617
2024-07-10 05:45:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,13.548701017999258,0.9672466734902764,160.54,1649.53035007857
2024-07-10 06:00:00+00:00,1000.0,400.0,75.0,1635.9816490605708,0.23267294564417007,1635.9816490605708,18750.0,1635.9816490605708,0,11.462467748004604,0.9672466734902764,135.82,1647.4441168085755
