dt,mw_procured,Hours_in_interval,mw_available,revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,p_acc_K1
2024-07-03 15:30:00+00:00,400.0,0.25,50.0,1160.1256850368686,1160.1256850368686,124.46,1555.75,1160.1256850368686,0,0.30936684934316494
2024-07-03 15:45:00+00:00,400.0,0.25,50.0,1055.7206606944299,1055.7206606944299,68.89,861.125,861.125,1,0.2815255095185146
2024-07-03 16:00:00+00:00,400.0,0.25,50.0,978.6188640431396,978.6188640431396,68.89,861.125,861.125,1,0.2609650304115039
2024-07-03 16:15:00+00:00,400.0,0.25,50.0,352.52528609375753,352.52528609375753,144.99,1812.375,352.52528609375753,0,0.09400674295833533
2024-07-03 16:30:00+00:00,400.0,0.25,50.0,352.4938780541438,352.4938780541438,144.99,1812.375,352.4938780541438,0,0.09399836748110502
2024-07-03 16:45:00+00:00,400.0,0.25,50.0,446.8949360666075,446.8949360666075,68.89,861.125,446.8949360666075,0,0.11917198295109532
2024-07-03 17:00:00+00:00,400.0,0.25,50.0,349.2616799514725,349.2616799514725,68.89,861.125,349.2616799514725,0,0.09313644798705933
2024-07-03 17:15:00+00:00,400.0,0.25,50.0,166.78893582132662,166.78893582132662,68.89,861.125,166.78893582132662,0,0.044477049552353765
2024-07-03 17:30:00+00:00,400.0,0.25,50.0,166.82935769771768,166.82935769771768,41.62,520.25,166.82935769771768,0,0.04448782871939139
2024-07-03 17:45:00+00:00,400.0,0.25,50.0,166.7558337267075,166.7558337267075,41.62,520.25,166.7558337267075,0,0.044468222327122
2024-07-03 18:00:00+00:00,400.0,0.25,50.0,265.68175065761477,265.68175065761477,41.62,520.25,265.68175065761477,0,0.07084846684203061
2024-07-03 18:15:00+00:00,400.0,0.25,50.0,60.250539711874794,60.250539711874794,14.46,180.75,60.250539711874794,0,0.01606681058983328
2024-07-03 18:30:00+00:00,400.0,0.25,50.0,60.29005303171755,60.29005303171755,14.46,180.75,60.29005303171755,0,0.01607734747512468
2024-07-03 18:45:00+00:00,400.0,0.25,50.0,60.27722190811019,60.27722190811019,14.46,180.75,60.27722190811019,0,0.016073925842162717
2024-07-03 19:00:00+00:00,400.0,0.25,50.0,60.276290129958056,60.276290129958056,14.46,180.75,60.276290129958056,0,0.016073677367988815
2024-07-03 19:15:00+00:00,400.0,0.25,50.0,187.75545821199754,187.75545821199754,41.62,520.25,187.75545821199754,0,0.050068122189866004
