dt,price_pln_per_mw_h,mw_procured,CEN,COR,CSDAC,CEB_SR,Hours_in_interval,T_years,budget_pln_interval,exante_option_value_per_mw,exante_p_accept,exante_pln_per_mw_interval,exante_pln_portfolio_baseline,exante_pln_portfolio_capped
2024-07-02 05:00:00+00:00,157.84,400.0,643.04,0.0,643.04,565.49,0.25,2.8519279032626055e-05,15784.0,57.84,1.0,14.46,7230.0,7230.0
2024-07-02 05:15:00+00:00,176.05,400.0,607.54,10.0,458.56,607.54,0.25,2.8519279032626055e-05,17605.0,76.05000000000001,1.0,19.012500000000003,9506.250000000002,9506.250000000002
2024-07-02 05:30:00+00:00,176.05,400.0,607.54,10.0,458.56,607.54,0.25,2.8519279032626055e-05,17605.0,76.05000000000001,1.0,19.012500000000003,9506.250000000002,9506.250000000002
2024-07-02 05:45:00+00:00,176.05,400.0,646.84,10.0,458.56,646.84,0.25,2.8519279032626055e-05,17605.0,76.05000000000001,1.0,19.012500000000003,9506.250000000002,9506.250000000002
2024-07-02 06:00:00+00:00,176.05,400.0,458.56,10.0,458.56,623.81,0.25,2.8519279032626055e-05,17605.0,76.05000000000001,1.0,19.012500000000003,9506.250000000002,9506.250000000002
2024-07-02 06:15:00+00:00,175.05,400.0,725.26,10.0,610.59,725.26,0.25,2.8519279032626055e-05,17505.0,75.05000000000001,1.0,18.762500000000003,9381.250000000002,9381.250000000002
2024-07-02 06:30:00+00:00,175.05,400.0,646.84,10.0,610.59,646.84,0.25,2.8519279032626055e-05,17505.0,75.05000000000001,1.0,18.762500000000003,9381.250000000002,9381.250000000002
2024-07-02 06:45:00+00:00,175.05,400.0,523.9,10.0,610.59,523.9,0.25,2.8519279032626055e-05,17505.0,75.05000000000001,1.0,18.762500000000003,9381.250000000002,9381.250000000002
2024-07-02 07:00:00+00:00,175.05,400.0,539.58,10.0,610.59,539.58,0.25,2.8519279032626055e-05,17505.0,75.05000000000001,1.0,18.762500000000003,9381.250000000002,9381.250000000002
2024-07-02 07:15:00+00:00,162.67,400.0,736.54,10.0,461.53,736.54,0.25,2.8519279032626055e-05,16266.999999999998,62.66999999999999,1.0,15.667499999999997,7833.749999999998,7833.749999999998
2024-07-02 07:30:00+00:00,162.67,400.0,723.21,10.0,461.53,723.21,0.25,2.8519279032626055e-05,16266.999999999998,62.66999999999999,1.0,15.667499999999997,7833.749999999998,7833.749999999998
2024-07-02 07:45:00+00:00,162.67,400.0,497.92,10.0,461.53,497.92,0.25,2.8519279032626055e-05,16266.999999999998,62.66999999999999,1.0,15.667499999999997,7833.749999999998,7833.749999999998
2024-07-02 08:00:00+00:00,162.67,400.0,461.53,10.0,461.53,461.15,0.25,2.8519279032626055e-05,16266.999999999998,62.66999999999999,1.0,15.667499999999997,7833.749999999998,7833.749999999998
2024-07-02 08:15:00+00:00,189.77,400.0,513.92,10.0,359.32,513.92,0.25,2.8519279032626055e-05,18977.0,89.77000000000001,1.0,22.442500000000003,11221.250000000002,11221.250000000002
2024-07-02 08:30:00+00:00,189.77,400.0,462.99,10.0,359.32,462.99,0.25,2.8519279032626055e-05,18977.0,89.77000000000001,1.0,22.442500000000003,11221.250000000002,11221.250000000002
2024-07-02 08:45:00+00:00,162.59,400.0,450.38,10.0,359.32,450.38,0.25,2.8519279032626055e-05,16259.0,62.59,1.0,15.6475,7823.75,7823.75
2024-07-02 09:00:00+00:00,189.77,400.0,450.38,10.0,359.32,450.38,0.25,2.8519279032626055e-05,18977.0,89.77000000000001,1.0,22.442500000000003,11221.250000000002,11221.250000000002
2024-07-02 09:15:00+00:00,199.77,400.0,457.99,10.0,321.37,457.99,0.25,2.8519279032626055e-05,19977.0,99.77000000000001,1.0,24.942500000000003,12471.250000000002,12471.250000000002
2024-07-02 09:30:00+00:00,199.77,400.0,456.99,10.0,321.37,456.99,0.25,2.8519279032626055e-05,19977.0,99.77000000000001,1.0,24.942500000000003,12471.250000000002,12471.250000000002
2024-07-02 09:45:00+00:00,199.77,400.0,489.92,10.0,321.37,489.92,0.25,2.8519279032626055e-05,19977.0,99.77000000000001,1.0,24.942500000000003,12471.250000000002,12471.250000000002
2024-07-02 10:00:00+00:00,199.77,400.0,548.82,10.0,321.37,548.82,0.25,2.8519279032626055e-05,19977.0,99.77000000000001,1.0,24.942500000000003,12471.250000000002,12471.250000000002
2024-07-02 10:15:00+00:00,1000.0,400.0,594.99,10.0,314.19,594.99,0.25,2.8519279032626055e-05,100000.0,900.0,1.0,225.0,112500.0,100000.0
