dt,mw_procured,Hours_in_interval,mw_available,cap_revenue_band_1,capacity_revenue_baseline,price_pln_per_mw_h,budget_envelope,capacity_revenue_capped,bound_flag,total_revenue
2024-07-05 17:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 18:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 18:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 18:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 18:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 19:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 19:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 19:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 19:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 20:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,188.54,2356.75,1133.6085891032428,0,1133.6085891032428
2024-07-05 20:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-05 20:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,42.45,530.625,530.625,1,530.625
2024-07-05 20:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 21:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,26.25,328.125,328.125,1,328.125
2024-07-05 21:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,111.15,1389.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 21:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,107.54,1344.25,1133.6085891032428,0,1133.6085891032428
2024-07-05 21:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,111.15,1389.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 22:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,111.15,1389.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 22:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,107.07,1338.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 22:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,107.07,1338.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 22:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,107.07,1338.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 23:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,107.07,1338.375,1133.6085891032428,0,1133.6085891032428
2024-07-05 23:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,185.83,2322.875,1133.6085891032428,0,1133.6085891032428
2024-07-05 23:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,185.83,2322.875,1133.6085891032428,0,1133.6085891032428
2024-07-05 23:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,163.95,2049.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 00:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,163.95,2049.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 00:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,196.73,2459.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 00:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,196.73,2459.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 00:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,196.73,2459.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 01:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,196.73,2459.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 01:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,195.63,2445.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 01:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,195.63,2445.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 01:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,195.63,2445.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 02:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,223.28,2791.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 02:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,253.06,3163.25,1133.6085891032428,0,1133.6085891032428
2024-07-06 02:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,253.06,3163.25,1133.6085891032428,0,1133.6085891032428
2024-07-06 02:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,253.06,3163.25,1133.6085891032428,0,1133.6085891032428
2024-07-06 03:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,253.06,3163.25,1133.6085891032428,0,1133.6085891032428
2024-07-06 03:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 03:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 03:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 04:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 04:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 04:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 04:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,1000.0,12500.0,1133.6085891032428,0,1133.6085891032428
2024-07-06 05:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,258.73,3234.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 05:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,307.04,3838.0000000000005,1133.6085891032428,0,1133.6085891032428
2024-07-06 05:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,307.04,3838.0000000000005,1133.6085891032428,0,1133.6085891032428
2024-07-06 05:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,307.04,3838.0000000000005,1133.6085891032428,0,1133.6085891032428
2024-07-06 06:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,307.04,3838.0000000000005,1133.6085891032428,0,1133.6085891032428
2024-07-06 06:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,304.57,3807.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 06:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,304.57,3807.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 06:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,304.57,3807.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 07:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,304.57,3807.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 07:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,465.21,5815.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 07:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,465.21,5815.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 07:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,465.21,5815.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 08:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,465.21,5815.125,1133.6085891032428,0,1133.6085891032428
2024-07-06 08:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,627.27,7840.875,1133.6085891032428,0,1133.6085891032428
2024-07-06 08:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,627.27,7840.875,1133.6085891032428,0,1133.6085891032428
2024-07-06 08:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,627.27,7840.875,1133.6085891032428,0,1133.6085891032428
2024-07-06 09:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,627.27,7840.875,1133.6085891032428,0,1133.6085891032428
2024-07-06 09:15:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,698.67,8733.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 09:30:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,698.67,8733.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 09:45:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,698.67,8733.375,1133.6085891032428,0,1133.6085891032428
2024-07-06 10:00:00+00:00,400.0,0.25,50.0,1133.6085891032428,1133.6085891032428,698.67,8733.375,1133.6085891032428,0,1133.6085891032428
